"Product_Collection","Vertical_Segment","Processor_Number","Status","Launch_Date","Lithography","Recommended_Customer_Price","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency","Max_Turbo_Frequency","Cache","Bus_Speed","TDP","Embedded_Options_Available","Conflict_Free","Max_Memory_Size","Memory_Types","Max_nb_of_Memory_Channels","Max_Memory_Bandwidth","ECC_Memory_Supported","Graphics_Base_Frequency","Graphics_Max_Dynamic_Frequency","Graphics_Video_Max_Memory","Graphics_Output","Max_Resolution_HDMI","Max_Resolution_DP","Max_Resolution_eDP_Integrated_Flat_Panel","DirectX_Support","PCI_Express_Revision","PCI_Express_Configurations_","Max_nb_of_PCI_Express_Lanes","T","Intel_Hyper_Threading_Technology_","Intel_Virtualization_Technology_VTx_","Intel_64_","Instruction_Set","Instruction_Set_Extensions","Idle_States","Thermal_Monitoring_Technologies","Secure_Key","Execute_Disable_Bit"
"Intel® Xeon® Processor W Family","Server","W-2195","Launched",2017,14,303,18,36,2.3,4.3,24.75,0,140,FALSE,TRUE,512,"DDR4 1600/1866/2133/2400/2666",4,85.3,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,"3","x4, x8, x16",48,66,TRUE,"Yes",TRUE,"64-bit","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512",TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","X5472","End of Life",2007,45,303,4,4,3,3.3,12,12.8,120,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,63,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Xeon® Processor W Family","Server","W-2155","Launched",2017,14,1440,10,20,3.3,4.5,13.75,0,140,FALSE,TRUE,512,"DDR4 1600/1866/2133/2400/2666",4,85.3,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,"3","x4, x8, x16",48,68,TRUE,"Yes",TRUE,"64-bit","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512",TRUE,TRUE,TRUE,TRUE
"Intel® Xeon® Processor W Family","Server","W-2145","Launched",2017,14,1113,8,16,3.7,4.5,11,0,140,FALSE,TRUE,512,"DDR4 1600/1866/2133/2400/2666",4,85.3,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,"3","x4, x8, x16",48,70,TRUE,"Yes",TRUE,"64-bit","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512",TRUE,TRUE,TRUE,TRUE
"Intel® Xeon® Processor W Family","Server","W-2135","Launched",2017,14,835,6,12,3.7,4.5,8.25,0,140,FALSE,TRUE,512,"DDR4 1600/1866/2133/2400/2666",4,85.3,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,"3","x4, x8, x16",48,64,TRUE,"Yes",TRUE,"64-bit","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512",TRUE,TRUE,TRUE,TRUE
"Intel® Xeon® Processor W Family","Server","W-2133","Launched",2017,14,617,6,12,3.6,3.9,8.25,0,140,FALSE,TRUE,512,"DDR4 1600/1866/2133/2400/2666",4,85.3,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,"3","x4, x8, x16",48,65,TRUE,"Yes",TRUE,"64-bit","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512",TRUE,TRUE,TRUE,TRUE
"Intel® Xeon® Processor W Family","Server","W-2125","Launched",2017,14,444,4,8,4,4.5,8.25,0,120,FALSE,TRUE,512,"DDR4 1600/1866/2133/2400/2666",4,85.3,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,"3","x4, x8, x16",48,64,TRUE,"Yes",TRUE,"64-bit","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512",TRUE,TRUE,TRUE,TRUE
"Intel® Xeon® Processor W Family","Server","W-2123","Launched",2017,14,294,4,8,3.6,3.9,8.25,0,120,FALSE,TRUE,512,"DDR4 1600/1866/2133/2400/2666",4,85.3,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,"3","x4, x8, x16",48,65,TRUE,"Yes",TRUE,"64-bit","Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512",TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","E7340","End of Life",2007,65,303,4,4,2.4,3.3,8,8.528,80,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,66,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","L5335","End of Life",2007,65,303,4,4,2,3.3,8,10.664,50,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,60,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","5133","Launched",2013,65,303,2,4,2.2,3.3,4,6.4,40,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,83,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","X3210","End of Life",2007,65,303,4,4,2.13,3.3,8,8.528,105,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,62.2,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","5063","End of Life",2013,65,369,2,4,3.2,3.3,4,8.528,95,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,67,TRUE,"Yes",TRUE,"64-bit",NA,FALSE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server",NA,"End of Interactive Support",2013,180,303,1,4,0.667,3.3,0.25,1.064,21.3,TRUE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,55,TRUE,"No",TRUE,"32-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server",NA,"End of Interactive Support",2013,250,303,1,4,0.5,3.3,0.5,0.8,36,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,75,TRUE,"No",TRUE,"32-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server",NA,"End of Interactive Support",2013,130,1100,1,4,1.5,3.3,1,3.2,48,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,67,TRUE,"No",TRUE,"32-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","7140M","End of Life",2013,65,303,2,4,3.4,3.3,16,6.4,150,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,69,TRUE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server",NA,"End of Interactive Support",2002,130,303,1,4,2.4,3.3,0.5,4.264,65,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,29.6,TRUE,"No",FALSE,"32-bit",NA,FALSE,TRUE,TRUE,FALSE
"Legacy Intel® Xeon® Processors","Server","7030","End of Life",2013,90,1980,2,4,2.8,3.3,2,6.4,165,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,76,TRUE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server",NA,"End of Interactive Support",2013,90,303,1,4,3,3.3,8,5.336,129,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,73,TRUE,"No",TRUE,"32-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server",NA,"End of Life",2013,90,303,1,4,2.8,3.3,1,6.4,103,TRUE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,72,TRUE,"No",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","W3690","End of Life",2011,32,303,6,12,3.46,3.73,12,12.8,130,FALSE,TRUE,24,"DDR3 800/1066/1333",3,32,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,67.9,TRUE,"Yes",TRUE,"64-bit","SSE4.2",TRUE,FALSE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","X5690","End of Life",2011,32,1664.5,6,12,3.46,3.73,12,12.8,130,FALSE,TRUE,288,"DDR3 800/1066/1333",3,32,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,78.5,TRUE,"Yes",TRUE,"64-bit","SSE4.2",TRUE,FALSE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server",NA,"End of Interactive Support",2013,32,303,1,4,0.4,3.3,0.5,0.8,30.8,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,75,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Embedded","LC3528","Launched",2010,45,326,2,4,1.73,1.87,4,1,35,TRUE,TRUE,32,NA,2,25.6,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,"2",NA,16,87,TRUE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Embedded","LC5518","Launched",2010,45,493,4,8,1.73,2.13,8,9.6,48,TRUE,TRUE,32,NA,3,25.6,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,"2",NA,16,85,TRUE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","X7550","End of Life",2010,45,303,8,16,2,2.4,18,12.8,130,FALSE,TRUE,32,"DDR3 800/978/1066/1333 (Max Speed 1066 MHz)",2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,69,TRUE,"Yes",TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","E6540","End of Life",2010,45,303,6,12,2,2.27,18,12.8,105,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,83,TRUE,"Yes",TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","X3470","End of Life",2009,45,339,4,8,2.93,3.6,8,1,95,FALSE,TRUE,32,"DDR3 800/1066/1333",2,21,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,"2","1x16, 2x8, 4x4",16,72.7,TRUE,"Yes",TRUE,"64-bit","SSE4.2",TRUE,FALSE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","W3570","End of Life",2009,45,1059,4,8,3.2,3.46,8,12.8,130,FALSE,TRUE,24,"DDR3 800/1066/1333",3,32,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,67.9,TRUE,"Yes",TRUE,"64-bit","SSE4.2",TRUE,FALSE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","X5560","Launched",2009,45,303,4,8,2.8,3.2,8,12.8,95,FALSE,TRUE,144,"DDR3 800/1066/1333",3,32,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,75,TRUE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","L7455","End of Life",2008,45,303,6,4,2.13,3.3,12,8.528,65,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,73,FALSE,"Yes",TRUE,"64-bit",NA,FALSE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Embedded","L3014","Launched",2008,45,303,1,4,2.4,3.3,3,8.528,30,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,83,FALSE,"No",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","X3370","End of Life",2008,45,339,4,4,3,3.3,12,10.664,95,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,71.4,FALSE,"Yes",TRUE,"64-bit",NA,FALSE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","E3120","End of Life",2008,45,303,2,4,3.16,3.3,6,10.664,65,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,72.4,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","X5272","End of Life",2007,45,303,2,4,3.4,3.3,6,12.8,80,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,66,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","X5482","End of Life",2007,45,303,4,4,3.2,3.3,12,12.8,150,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,63,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","L7345","End of Life",2007,65,303,4,4,1.86,3.3,8,8.528,50,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,66,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","E7210","End of Life",2007,65,303,2,4,2.4,3.3,8,8.528,80,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,64,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","5138","Launched",2006,65,494,2,4,2.13,3.3,4,8.528,35,TRUE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,70.8,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","X5355","End of Life",2006,65,303,4,4,2.66,3.3,8,10.664,120,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,70,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","X3220","End of Life",2007,65,303,4,4,2.4,3.3,8,8.528,105,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,62.2,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server",NA,"End of Interactive Support",2013,180,303,1,4,0.6,3.3,0.25,1.064,19.2,TRUE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,55,TRUE,"No",TRUE,"32-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server",NA,"End of Interactive Support",2013,250,303,1,4,0.5,3.3,2,0.8,36.2,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,75,TRUE,"No",TRUE,"32-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server",NA,"End of Interactive Support",2013,180,303,1,4,1.4,3.3,0.5,3.2,64,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,74,TRUE,"No",TRUE,"32-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","7140N","End of Life",2013,65,303,2,4,3.33,3.3,16,5.336,150,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,69,TRUE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server",NA,"End of Interactive Support",2013,130,303,1,4,2.4,3.3,1,4.264,77,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,72,TRUE,"No",TRUE,"32-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","7040","End of Life",2013,90,3157,2,4,3,3.3,4,5.336,165,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,76,TRUE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","5070","End of Life",2013,65,303,2,4,3.46,3.3,4,8.528,130,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,78,TRUE,"Yes",TRUE,"64-bit",NA,FALSE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server",NA,"End of Interactive Support",2013,90,303,1,4,3,3.3,2,6.4,47,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,83,TRUE,NA,TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server",NA,"End of Interactive Support",2013,32,303,1,4,0.4,3.3,0.5,0.528,18.6,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,65,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","X3480","End of Life",2010,45,623,4,8,3.06,3.73,8,1,95,FALSE,TRUE,32,"DDR3 800/1066/1333",2,21,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,"2","1x16, 2x8, 4x4",16,72.7,TRUE,"Yes",TRUE,"64-bit","SSE4.2",TRUE,FALSE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Embedded","LC5528","Launched",2010,45,493,4,8,2.13,2.53,8,9.6,60,TRUE,TRUE,32,NA,3,25.6,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,"2",NA,16,77.5,TRUE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","X7560","End of Life",2010,45,303,8,16,2.27,2.67,24,12.8,130,FALSE,TRUE,32,"DDR3 800/978/1066/1333 (Max Speed 1066 MHz)",2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,83,TRUE,"Yes",TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","X6550","End of Life",2010,45,303,8,16,2,2.4,18,12.8,130,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,69,TRUE,"Yes",TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","X3380","End of Life",2009,45,562,4,4,3.16,3.3,12,10.664,95,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,71.4,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","W3580","End of Life",2009,45,1059,4,8,3.33,3.6,8,12.8,130,FALSE,TRUE,24,"DDR3 800/1066/1333",3,32,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,67.9,TRUE,"Yes",TRUE,"64-bit","SSE4.2",TRUE,FALSE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","X5570","Launched",2009,45,303,4,8,2.93,3.33,8,12.8,95,FALSE,TRUE,144,"DDR3 800/1066/1333",3,32,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,75,TRUE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","X7460","End of Life",2008,45,2837,6,4,2.66,3.3,16,8.528,130,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,64,FALSE,"Yes",TRUE,"64-bit",NA,FALSE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","X5492","End of Life",2008,45,303,4,4,3.4,3.3,12,12.8,150,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,63,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","L3110","End of Life",2009,45,243,2,4,3,3.3,6,10.664,45,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,78.65,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","X3230","End of Life",2007,65,303,4,4,2.66,3.3,8,8.528,95,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,60.4,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","X7350","End of Life",2007,65,303,4,4,2.93,3.3,8,8.528,130,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,66,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","E7220","End of Life",2007,65,303,2,4,2.93,3.3,8,8.528,80,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,64,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","X5365","End of Life",2007,65,303,4,4,3,3.3,8,10.664,150,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,63,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","7150N","End of Life",2013,65,303,2,4,3.5,3.3,16,5.336,150,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,69,TRUE,"Yes",TRUE,"64-bit",NA,FALSE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server",NA,"End of Interactive Support",2013,250,303,1,4,0.5,3.3,1,0.8,44,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,75,TRUE,"No",TRUE,"32-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server",NA,"End of Interactive Support",2013,180,303,1,4,1,3.3,0.25,1.064,30.8,TRUE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,55,TRUE,"No",TRUE,"32-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server",NA,"End of Life",2002,130,303,1,4,2,3.3,0.5,4.264,58,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,70,TRUE,"No",FALSE,"32-bit",NA,FALSE,TRUE,TRUE,FALSE
"Legacy Intel® Xeon® Processors","Server",NA,"End of Interactive Support",2013,180,303,1,4,1.4,3.3,0.25,3.2,56,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,69,TRUE,"No",TRUE,"32-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","7041","End of Life",2013,90,3157,2,4,3,3.3,4,6.4,165,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,76,TRUE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","5148","Launched",2006,65,303,2,4,2.33,3.3,4,10.664,40,TRUE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,58,FALSE,"Yes",TRUE,"64-bit",NA,TRUE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server","5080","End of Life",2013,65,851,2,4,3.73,3.3,4,8.528,130,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,78,TRUE,"Yes",TRUE,"64-bit",NA,FALSE,TRUE,TRUE,TRUE
"Legacy Intel® Xeon® Processors","Server",NA,"Launched",2013,90,303,1,4,2.83,3.3,4,5.336,129,FALSE,TRUE,32,NA,2,25.6,FALSE,350,1050,8,NA,NA,NA,NA,FALSE,NA,NA,16,73,TRUE,"No",TRUE,"32-bit",NA,TRUE,TRUE,TRUE,TRUE
"Intel® Xeon Phi™ x100 Product Family","Server","5110P","End of Life",2012,22,303,60,4,1.05,3.3,30,4,225,FALSE,TRUE,8,NA,16,320,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,"2",NA,16,83,TRUE,NA,TRUE,"64-bit","IMCI",TRUE,TRUE,TRUE,TRUE
"Intel® Xeon Phi™ x100 Product Family","Server","5120D","End of Life",2013,22,303,60,4,1.05,3.3,30,4,245,FALSE,TRUE,8,NA,16,352,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,"2",NA,16,83,TRUE,NA,TRUE,"64-bit","IMCI",TRUE,TRUE,TRUE,TRUE
"Intel® Xeon Phi™ x100 Product Family","Server","7120X","End of Life",2013,22,303,61,4,1.24,1.33,30.5,4,300,FALSE,TRUE,16,NA,16,352,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,"2",NA,16,83,TRUE,NA,TRUE,"64-bit","IMCI",TRUE,TRUE,TRUE,TRUE
"Intel® Xeon Phi™ x100 Product Family","Server","7120P","End of Life",2013,22,303,61,4,1.24,1.33,30.5,4,300,FALSE,TRUE,16,NA,16,352,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,"2",NA,16,83,TRUE,NA,TRUE,"64-bit","IMCI",TRUE,TRUE,TRUE,TRUE
"Intel® Xeon Phi™ x100 Product Family","Server","7120D","End of Life",2014,22,303,61,4,1.24,1.33,30.5,4,270,FALSE,TRUE,16,NA,16,352,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,"2",NA,16,83,TRUE,NA,TRUE,"64-bit","IMCI",TRUE,TRUE,TRUE,TRUE
"Intel® Xeon Phi™ x100 Product Family","Server","7120A","End of Life",2014,22,303,61,4,1.24,1.33,30.5,4,300,FALSE,TRUE,16,NA,16,352,TRUE,350,1050,8,NA,NA,NA,NA,FALSE,"2",NA,16,83,TRUE,NA,TRUE,"64-bit","IMCI",TRUE,TRUE,TRUE,TRUE
